repoName,title,url,lockReason,labels
dateutil/dateutil,Inconsistent equality test around DST change with shared tzfile,https://github.com/dateutil/dateutil/issues/338,,"['bug', 'wontfix', 'time zones']"
dateutil/dateutil,dateutil.parser: GMT != UTC,https://github.com/dateutil/dateutil/issues/356,,"['bug', 'duplicate']"
dateutil/dateutil,dst() incorrectly handles Pacific/Apia day leap,https://github.com/dateutil/dateutil/issues/331,,"['bug', 'time zones']"
dateutil/dateutil,"AttributeError when strftime argument includes ""%Z"" for datetime.time",https://github.com/dateutil/dateutil/issues/292,,"['bug', 'time zones']"
dateutil/dateutil,utc -> local timezone conversion fails during a DST transition,https://github.com/dateutil/dateutil/issues/112,,"['bug', 'enhancement', 'documentation', 'time zones']"
dateutil/dateutil,Parsed time zone wrong when adjusted at runtime,https://github.com/dateutil/dateutil/issues/163,,"['bug', 'duplicate', 'time zones']"
dateutil/dateutil,Wrong dst() value for time in Portugal tz,https://github.com/dateutil/dateutil/issues/128,,"['bug', 'time zones']"
dateutil/dateutil,Error when creating datetime.time with dateutil.tz.tzwinlocal,https://github.com/dateutil/dateutil/issues/216,,"['bug', 'time zones', 'tzwin']"
dateutil/dateutil,"Error when creating datetime.time with dateutil.tz.tzlocal ",https://github.com/dateutil/dateutil/issues/59,,"['bug', 'time zones']"
dateutil/dateutil,tzname() inconsistent between tzwin() and tzwinlocal() and neither reflect actual DST.,https://github.com/dateutil/dateutil/issues/143,,"['bug', 'time zones']"
dateutil/dateutil,rrulestr Generates Datetime with Incorrect Daylight Savings Value,https://github.com/dateutil/dateutil/issues/72,,"['wontfix', 'rrule', 'time zones']"
dateutil/dateutil,pytz.utc and tzutc(),https://github.com/dateutil/dateutil/issues/131,,['wontfix']
dateutil/dateutil,"Garbage input for parse returns a datetime, not an TypeError",https://github.com/dateutil/dateutil/issues/21,,['bug']
rapidpro/rapidpro,Imported CampaignEvent fields aren't datetimes,https://github.com/rapidpro/rapidpro/issues/755,,['bug']
ptpb/pb,fix yaml datetime encoder behavior,https://github.com/ptpb/pb/issues/145,,['bug']
PaloAltoNetworks/pan-os-python,"PanDevice.clock() returns ""AttributeError: module 'datetime' has no attribute 'strptime'""",https://github.com/PaloAltoNetworks/pan-os-python/issues/277,,['bug']
codalab/codalab-worksheets,[Bug v0.5.14] Invalid datetime in created field on dev environment,https://github.com/codalab/codalab-worksheets/issues/2379,,"['bug', 'dev']"
web2py/pydal,base.py parse_datetime lost millisecond precision if tzinfo not present,https://github.com/web2py/pydal/issues/284,,['bug']
dask/dask,padding datetime arrays with missing values,https://github.com/dask/dask/issues/9645,,"['array', 'needs attention', 'bug']"
dask/dask,Unpredictable TypeError when computing on dataframe with datetime column,https://github.com/dask/dask/issues/9003,,"['dataframe', 'bug']"
pyeve/eve-sqlalchemy,Error: datetime.timedelta is not JSON-serializable,https://github.com/pyeve/eve-sqlalchemy/issues/37,,['bug']
KxSystems/pyq,datetime type,https://github.com/KxSystems/pyq/issues/83,,"['enhancement', 'wontfix', 'numpy']"
pvlib/pvlib-python,Daylight saving timestamp issue in solarposition.ephemeris,https://github.com/pvlib/pvlib-python/issues/307,,['bug']
weewx/weewx,reports should display local time even when computer clock is set to UTC,https://github.com/weewx/weewx/issues/301,,"['enhancement', 'wontfix']"
weewx/weewx,wunderfixer should use UTC times to find missing records,https://github.com/weewx/weewx/issues/287,,['Easy project']
rhblind/drf-haystack,DATETIME__lt lookup results in ParseException for Elasticsearch,https://github.com/rhblind/drf-haystack/issues/45,,['bug']
kobotoolbox/kpi,`_submission_time` needs to be treated as UTC in the UI,https://github.com/kobotoolbox/kpi/issues/3941,,"['bug', 'UI & UX', 'Front end', 'done on beta']"
kobotoolbox/kpi,[NLP] UTC to local time issue,https://github.com/kobotoolbox/kpi/issues/3834,,['bug']
vnpy/vnpy,运行回测时需要给datetime添加时区信息,https://github.com/vnpy/vnpy/issues/3276,,['bug']
pimutils/todoman,Due date specified as DATE is changed to DATETIME with year 1900,https://github.com/pimutils/todoman/issues/430,,['bug']
pimutils/todoman,Todoman needs to deal with date vs datetime,https://github.com/pimutils/todoman/issues/165,,"['bug', 'lv: hard']"
pimutils/todoman,"TodoEditor shows humanized datetimes in due field, may not be able to parse them back",https://github.com/pimutils/todoman/issues/158,,"['bug', 'lv: hard']"
ActiDoo/gamification-engine,Update Model: Save all datetimes with timezone,https://github.com/ActiDoo/gamification-engine/issues/19,,['bug']
ibis-project/ibis,bug: cannot convert mysql `datetime(6)` type to ibis datatype,https://github.com/ibis-project/ibis/issues/9293,,"['bug', 'mysql', 'datatypes', 'timestamps']"
ibis-project/ibis,bug: Incorrect UTC time zone with mySQL backend triggers OperationalError,https://github.com/ibis-project/ibis/issues/7918,,['bug']
ibis-project/ibis,"bug: CompileError: No literal value renderer is available for literal value ""datetime.datetime(1998, 9, 2, 0, 0)"" with datatype DATETIME",https://github.com/ibis-project/ibis/issues/7722,,['bug']
ibis-project/ibis,bug: UTC issue with MySQL backend,https://github.com/ibis-project/ibis/issues/6010,,"['bug', 'mysql']"
ibis-project/ibis,bug: Incorrect datetime dtypes with postgres backend,https://github.com/ibis-project/ibis/issues/5921,,"['bug', 'question', 'not reproducible']"
ibis-project/ibis,bug: mysql table with bad datetime data causes ibis to fail to execute a table,https://github.com/ibis-project/ibis/issues/6077,,['bug']
ibis-project/ibis,bug(pandas): pandas backend does not support series == datetime.date() operations,https://github.com/ibis-project/ibis/issues/4291,,"['bug', 'pandas']"
ibis-project/ibis,Timezone information is not passed from datetime objects through to ibis.literal,https://github.com/ibis-project/ibis/issues/1459,,"['bug', 'expressions']"
ibis-project/ibis,'SET LOCAL TIMEZONE = UTC') causes crash on Redshift with postgres driver,https://github.com/ibis-project/ibis/issues/1158,,"['bug', 'postgres']"
ibis-project/ibis,BUG: datetime filter and time() filtering failing,https://github.com/ibis-project/ibis/issues/1124,,['bug']
testing-cabal/mock,Can't mock built-in or extension types like datetime (+ fix),https://github.com/testing-cabal/mock/issues/200,,[]
pysat/pysat,BUG: `create_datetime_index` mislabels data file index when dates are out of order.,https://github.com/pysat/pysat/issues/906,,['bug']
pysat/pysat,Datetime inputs to pysat,https://github.com/pysat/pysat/issues/122,,"['bug', 'testing']"
borgbackup/borg,start/end times in UTC,https://github.com/borgbackup/borg/issues/651,,['bug']
cowrie/cowrie,Time zone in JSON output,https://github.com/cowrie/cowrie/issues/133,,['bug']
cowrie/cowrie,Cowrie writes to MySQL in local time zone,https://github.com/cowrie/cowrie/issues/596,,['bug']
spec-first/connexion,Build broken by datetime changes in PyYAML 5.3,https://github.com/spec-first/connexion/issues/1126,,['bug']
man-group/arctic,Timezone aware Datetime types (DatetimeTZDtype) don't have hasobject attribute,https://github.com/man-group/arctic/issues/648,,['bug']
fossasia/open-event-server,Change email and PDF datetimes to event timezone,https://github.com/fossasia/open-event-server/issues/7438,,"['bug', 'Priority: High', 'codeheat']"
fossasia/open-event-server,Update closing_datetime value to database,https://github.com/fossasia/open-event-server/issues/591,,['bug']
fossasia/open-event-server,Check if datetime fields exists in Event API payload before using them,https://github.com/fossasia/open-event-server/issues/1421,,"['bug', 'rest-api', 'Import-export']"
fossasia/open-event-server,"Event API has closing_date as field, should be closing_datetime",https://github.com/fossasia/open-event-server/issues/648,,"['bug', 'rest-api']"
neo4j/neo4j-python-driver,TypeError when serializing DateTime object with pickle,https://github.com/neo4j/neo4j-python-driver/issues/1001,,['bug']
neo4j/neo4j-python-driver,Datetime filter rounding bug on [UTC] property,https://github.com/neo4j/neo4j-python-driver/issues/877,,['question']
neo4j/neo4j-python-driver,"Microsecond bug in neo4j.time.DateTime.to_native() ",https://github.com/neo4j/neo4j-python-driver/issues/525,,[]
neo4j/neo4j-python-driver,"MATCH with neotime.Datetime params on value datetime(""2019-10-30T07:54:02.129790999[UTC]"")",https://github.com/neo4j/neo4j-python-driver/issues/306,,['bug']
opendatacube/datacube-core,datacube dataset search console display should show datetime or center_dt,https://github.com/opendatacube/datacube-core/issues/1264,,"['wontfix', 'improvement proposal', 'easy']"
