repoName,id,title,url_x,lockReason,timelineCount,labels,fixUrl,fixUrlCount,tf_idf,size,nameWithOwner,owner,name,url_y,description,stars,primaryLanguage,updatedAt,createdAt,issuesCount,forkCount,watchersCount,discussionsCount
bluedazzle/django-simple-serializer,MDU6SXNzdWUxODUzNTUxMDc=,2.0.3 datetime报错,https://github.com/bluedazzle/django-simple-serializer/issues/2,,2,[],https://github.com/bluedazzle/django-simple-serializer/commit/38d83b312eee49da09533a49d79f7d037bb76af9,1,1.652365964526826,310.0,bluedazzle/django-simple-serializer,bluedazzle,django-simple-serializer,https://github.com/bluedazzle/django-simple-serializer,serialize django data in a simple way,155,Python,2023-08-22T07:39:45Z,2015-05-23T09:54:22Z,7,51,7,0
OpenAgricultureFoundation/openag-device-software,MDU6SXNzdWUzMzg2MjI3Njg=,start recipe @timestamp,https://github.com/OpenAgricultureFoundation/openag-device-software/issues/67,,3,['enhancement'],https://github.com/OpenAgricultureFoundation/openag-device-software/commit/a299d945e2a819388cb4bf78726303acc584b07f,1,1.628359405429399,25.0,OpenAgricultureFoundation/openag-device-software,OpenAgricultureFoundation,openag-device-software,https://github.com/OpenAgricultureFoundation/openag-device-software,Software for running controlled grow environments on Linux / OSX machines and embedded linux devices such as Beaglebones and Raspberry Pis.,193,Python,2024-04-01T17:21:01Z,2018-03-21T21:33:51Z,173,49,42,0
freach/udatetime,MDU6SXNzdWUxNjg0NzEwNDc=,"udatetime.fromtimestamp(timestamp[, tz])",https://github.com/freach/udatetime/issues/3,,3,['enhancement'],https://github.com/freach/udatetime/commit/b169c2a0ff4858a0a93143ed17b9562ee5dfbb85,1,1.6180160250887308,107.0,freach/udatetime,freach,udatetime,https://github.com/freach/udatetime,Fast RFC3339 compliant Python date-time library,241,Python,2024-05-31T17:07:42Z,2016-07-29T09:18:10Z,28,27,7,0
palewire/django-postgres-copy,MDU6SXNzdWU5NDgyNzc5OA==,Test datetime fields,https://github.com/palewire/django-postgres-copy/issues/7,,1,[],https://github.com/palewire/django-postgres-copy/commit/72e0f7f3ab0b7605da6c4834871ec0b066a61ece,1,1.5973292644073949,22.0,palewire/django-postgres-copy,palewire,django-postgres-copy,https://github.com/palewire/django-postgres-copy,Quickly import and export delimited data with Django support for PostgreSQL's COPY command,174,Python,2024-05-09T14:43:57Z,2015-07-13T16:41:23Z,82,48,18,0
vanderschaarlab/synthcity,I_kwDOHBlM785ZcmD9,Encode datetime features,https://github.com/vanderschaarlab/synthcity/issues/84,,2,[],https://github.com/vanderschaarlab/synthcity/pull/103,1,1.5973292644073949,26.0,vanderschaarlab/synthcity,vanderschaarlab,synthcity,https://github.com/vanderschaarlab/synthcity,"A library for generating and evaluating synthetic tabular data for privacy, fairness and data augmentation.",382,Python,2024-06-12T22:19:22Z,2022-03-18T15:26:36Z,128,51,12,20
blaylockbk/Herbie,I_kwDOEGdvPs6Orcwf,MAINTENANCE: DeprecationWarning: datetime.datetime.utcnow() is deprecated,https://github.com/blaylockbk/Herbie/issues/341,,2,[],https://github.com/blaylockbk/Herbie/commit/6ff47b63255dee08f0c8fe35c27a76806f5a46cd,2,1.5638797956954802,394.0,blaylockbk/Herbie,blaylockbk,Herbie,https://github.com/blaylockbk/Herbie,"Download numerical weather prediction datasets (HRRR, RAP, GFS, IFS, etc.) from NOMADS, NODD partners (Amazon, Google, Microsoft), ECMWF open data, and the University of Utah Pando Archive System. ",413,Python,2024-06-12T06:22:05Z,2020-06-26T17:43:11Z,160,68,14,77
python-humanize/humanize,I_kwDOG9EFvM52XKs3,naturaldelta failing with float input and sub-second precision,https://github.com/python-humanize/humanize/issues/154,,2,[],https://github.com/python-humanize/humanize/pull/169,2,1.521302005303965,618.0,python-humanize/humanize,python-humanize,humanize,https://github.com/python-humanize/humanize,Python humanize functions,395,Python,2024-06-13T10:19:44Z,2022-03-06T08:50:33Z,49,58,3,0
ltworf/typedload,MDU6SXNzdWU0MjQwNzY5OTI=,Support timezones in datatime,https://github.com/ltworf/typedload/issues/72,,3,['enhancement'],https://github.com/ltworf/typedload/pull/393,2,1.4869396239325607,31.0,ltworf/typedload,ltworf,typedload,https://github.com/ltworf/typedload,Python library to load dynamically typed data into statically typed data structures,254,Python,2024-06-06T10:18:44Z,2018-03-24T02:24:02Z,79,9,8,0
xlwings/xlwings,MDU6SXNzdWUzNTU5MTQ4Nw==,Make datetime timezone-naive and get rid of pytz dependency,https://github.com/xlwings/xlwings/issues/29,,9,[],https://github.com/xlwings/xlwings/commit/5af4d0a82db447b52e20880c61e618efc6a07207,2,1.473652283213169,101.0,xlwings/xlwings,xlwings,xlwings,https://github.com/xlwings/xlwings,xlwings is a Python library that makes it easy to call Python from Excel and vice versa. It works with Excel on Windows and macOS as well as with Google Sheets and Excel on the web. ,2874,Python,2024-06-13T13:58:46Z,2014-03-17T13:03:20Z,1863,485,123,0
xlwings/xlwings,MDU6SXNzdWU5NDc2OTc2MjM=,reports: add datetime and arithmetic filters,https://github.com/xlwings/xlwings/issues/1660,,6,['PRO'],https://github.com/xlwings/xlwings/pull/1674,2,1.4707208218208256,68.0,xlwings/xlwings,xlwings,xlwings,https://github.com/xlwings/xlwings,xlwings is a Python library that makes it easy to call Python from Excel and vice versa. It works with Excel on Windows and macOS as well as with Google Sheets and Excel on the web. ,2874,Python,2024-06-13T13:58:46Z,2014-03-17T13:03:20Z,1863,485,123,0
aws-samples/siem-on-amazon-opensearch-service,MDU6SXNzdWU3NTc4NTcwMDQ=,load nano seconds to timestamp,https://github.com/aws-samples/siem-on-amazon-opensearch-service/issues/23,,6,['enhancement'],https://github.com/aws-samples/siem-on-amazon-opensearch-service/commit/f43b7237836783bf0755ae856b008c82dff04ade,1,1.4657658204924118,208.0,aws-samples/siem-on-amazon-opensearch-service,aws-samples,siem-on-amazon-opensearch-service,https://github.com/aws-samples/siem-on-amazon-opensearch-service,"A solution for collecting, correlating and visualizing multiple types of logs to help investigate security incidents.",553,Python,2024-06-12T10:29:45Z,2020-10-12T11:37:12Z,390,182,29,0
wireservice/agate,MDU6SXNzdWUxMTQ2MzUyNTU=,"Table.to_json doesn't support Date, DateTime or TimeDelta",https://github.com/wireservice/agate/issues/376,,5,['bug'],https://github.com/wireservice/agate/commit/5ef89157ad1ebc7ee581da759ea12b96600c3b6a,2,1.4570046276033228,59.0,wireservice/agate,wireservice,agate,https://github.com/wireservice/agate,A Python data analysis library that is optimized for humans instead of machines.,1165,Python,2024-06-10T03:03:01Z,2014-04-25T13:59:09Z,647,153,41,0
mverleg/pyjson_tricks,MDU6SXNzdWUxNjU5NTc0MDA=,"Parse date, time, datetime and timedelta",https://github.com/mverleg/pyjson_tricks/issues/7,,1,[],https://github.com/mverleg/pyjson_tricks/commit/6bc62c66f1ddb582553bec482bec2be32d86aa30,1,1.4570046276033228,58.0,mverleg/pyjson_tricks,mverleg,pyjson_tricks,https://github.com/mverleg/pyjson_tricks,"Extra features for Python's JSON: comments, order, numpy, pandas, datetimes, and many more! Simple but customizable.",154,Python,2024-01-04T16:01:54Z,2015-11-05T15:08:05Z,73,21,12,0
sdispater/pendulum,MDU6SXNzdWUzNjI3MTk5MDI=,int_timestamp returns different values than timestamp(),https://github.com/sdispater/pendulum/issues/282,,3,[],https://github.com/sdispater/pendulum/pull/296,1,1.4217672007662143,789.0,sdispater/pendulum,sdispater,pendulum,https://github.com/sdispater/pendulum,Python datetimes made easy,6109,Python,2024-06-12T04:09:49Z,2016-06-27T23:37:53Z,528,373,68,14
sdispater/pendulum,MDU6SXNzdWUxNzM2Mjk3NTA=,Applies timezone normalization for start_of()/end_of() methods,https://github.com/sdispater/pendulum/issues/36,,3,['bug'],https://github.com/sdispater/pendulum/commit/b6989fe05b4c5dd74d745203081209a5aaeaae38,1,1.4173005268126555,418.0,sdispater/pendulum,sdispater,pendulum,https://github.com/sdispater/pendulum,Python datetimes made easy,6109,Python,2024-06-12T04:09:49Z,2016-06-27T23:37:53Z,528,373,68,14
FreeOpcUa/python-opcua,MDU6SXNzdWU2MDc1Njc1NjQ=,win_epoch_to_datetime: integer division rounding error,https://github.com/FreeOpcUa/python-opcua/issues/1007,,3,[],https://github.com/FreeOpcUa/python-opcua/pull/1008,1,1.4071830861913988,868.0,FreeOpcUa/python-opcua,FreeOpcUa,python-opcua,https://github.com/FreeOpcUa/python-opcua,LGPL Pure Python OPC-UA Client and Server,1320,Python,2024-06-12T06:54:15Z,2015-02-20T16:46:53Z,820,660,107,157
m-labs/artiq,MDU6SXNzdWUyMjQ1MjQ5MTA=,use time() for timestamps,https://github.com/m-labs/artiq/issues/726,,7,"['prio:2-normal', 'complexity:bite']",https://github.com/cjbe/artiq/commit/223501f811ccd95dca2acdb8449306a5098d5a7c,3,1.4035819436554515,192.0,m-labs/artiq,m-labs,artiq,https://github.com/m-labs/artiq,A leading-edge control system for quantum information experiments,410,Python,2024-06-13T04:19:09Z,2014-05-25T18:09:36Z,1635,189,42,0
electricitymaps/electricitymaps-contrib,MDU6SXNzdWUxODg5NjExMDY=,Arrows are not centered,https://github.com/electricitymaps/electricitymaps-contrib/issues/132,,7,['bug 🐞'],https://github.com/electricitymaps/electricitymaps-contrib/commit/87ad89d36b7cedc876e4888049ae997dd6a0f54b,5,1.3845948720752357,25.0,electricitymaps/electricitymaps-contrib,electricitymaps,electricitymaps-contrib,https://github.com/electricitymaps/electricitymaps-contrib,A real-time visualisation of the CO2 emissions of electricity consumption,3342,Python,2024-06-13T12:25:04Z,2016-05-21T16:36:17Z,2669,904,77,153
modin-project/modin,MDU6SXNzdWU5MzY5OTIzNDc=,OmniSci backend with Arrow 3.0,https://github.com/modin-project/modin/issues/3216,,29,['HDK'],https://github.com/modin-project/modin/pull/3308,18,1.3845948720752357,32.0,modin-project/modin,modin-project,modin,https://github.com/modin-project/modin,Modin: Scale your Pandas workflows by changing a single line of code,9549,Python,2024-06-13T13:49:31Z,2018-06-21T21:35:05Z,4128,646,114,14
electricitymaps/electricitymaps-contrib,MDU6SXNzdWUxNzI2NTQzNTA=,Add arrows import/export explanation,https://github.com/electricitymaps/electricitymaps-contrib/issues/40,,4,[],https://github.com/electricitymaps/electricitymaps-contrib/commit/bbae5652a7e38bc271ca417830f0e6ab1c8a9b47,3,1.3845948720752357,38.0,electricitymaps/electricitymaps-contrib,electricitymaps,electricitymaps-contrib,https://github.com/electricitymaps/electricitymaps-contrib,A real-time visualisation of the CO2 emissions of electricity consumption,3342,Python,2024-06-13T12:25:04Z,2016-05-21T16:36:17Z,2669,904,77,153
RhetTbull/osxphotos,I_kwDOC3Qk2c5CjG79,Improve elapsed time output,https://github.com/RhetTbull/osxphotos/issues/604,,3,['feature request'],https://github.com/RhetTbull/osxphotos/commit/16d3f743664396d43b3b3028a5e7a919ec56d9e1,1,1.3828095043297006,111.0,RhetTbull/osxphotos,RhetTbull,osxphotos,https://github.com/RhetTbull/osxphotos,"Python app to work with pictures and associated metadata from Apple Photos on macOS. Also includes a package to provide programmatic access to the Photos library, pictures, and metadata. ",1798,Python,2024-06-13T15:47:45Z,2019-06-16T07:07:49Z,922,94,22,182
zoffline/zwift-offline,I_kwDOBq3QSc542WnW,datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12,https://github.com/zoffline/zwift-offline/issues/280,,3,[],https://github.com/zoffline/zwift-offline/commit/403340131f496b1128618d7750ee1440ec94e3d0,3,1.3691393694920526,77.0,zoffline/zwift-offline,zoffline,zwift-offline,https://github.com/zoffline/zwift-offline,Use Zwift offline,570,Python,2024-06-13T10:18:11Z,2017-11-26T04:00:04Z,218,97,27,0
Thomas55555/husqvarna_automower,I_kwDOESAiP84_oyB4,remove pytz,https://github.com/Thomas55555/husqvarna_automower/issues/155,,3,[],https://github.com/Thomas55555/husqvarna_automower/pull/156,2,1.3676072065981086,96.0,Thomas55555/husqvarna_automower,Thomas55555,husqvarna_automower,https://github.com/Thomas55555/husqvarna_automower,Custom component for Home Assistant to monitor and control your Husqvarna Automower,106,Python,2024-06-02T15:55:55Z,2020-08-13T15:40:43Z,156,27,7,53
tobymao/sqlglot,I_kwDOFLMIJc5mXEqQ,SparkSQL negative intervals are being generated incorrectly,https://github.com/tobymao/sqlglot/issues/1660,,3,[],https://github.com/tobymao/sqlglot/pull/1662,2,1.357460812156506,281.0,tobymao/sqlglot,tobymao,sqlglot,https://github.com/tobymao/sqlglot,Python SQL Parser and Transpiler,5871,Python,2024-06-13T15:33:11Z,2021-03-13T05:01:56Z,1508,595,37,150
googleapis/google-api-python-client,I_kwDOAPBQlc53ghfw,"Deprecated utcnow, utcfromtimestamp should be removed",https://github.com/googleapis/google-api-python-client/issues/2285,,5,"['priority: p2', 'type: cleanup']",https://github.com/googleapis/google-api-python-client/pull/2286,2,1.356276458446955,237.0,googleapis/google-api-python-client,googleapis,google-api-python-client,https://github.com/googleapis/google-api-python-client,🐍 The official Python client library for Google's discovery based APIs.,7510,Python,2024-06-13T07:52:26Z,2014-01-08T21:55:56Z,1054,2368,281,28
project-alice-assistant/ProjectAlice,MDU6SXNzdWU2NjIxMDM4ODM=,"[minor] Timestamps in syslog are utc, not local",https://github.com/project-alice-assistant/ProjectAlice/issues/270,,5,"['bug', 'GUI']",https://github.com/project-alice-assistant/ProjectAlice/commit/006ba87b8240644d3cc515d033d3488b4730f4bc,1,1.3551333573536284,88.0,project-alice-assistant/ProjectAlice,project-alice-assistant,ProjectAlice,https://github.com/project-alice-assistant/ProjectAlice,"Main repository of Project Alice, contains main unit source code",694,Python,2024-06-08T16:41:29Z,2019-06-24T04:53:32Z,292,61,22,2
mosquito/aio-pika,I_kwDOBCPZ4M56tabi,Deprecation warnings about datetime.utcnow and datetime.utcfromtimestamp,https://github.com/mosquito/aio-pika/issues/609,,2,[],https://github.com/mosquito/aio-pika/pull/610,2,1.3489324034369614,833.0,mosquito/aio-pika,mosquito,aio-pika,https://github.com/mosquito/aio-pika,AMQP 0.9 client designed for asyncio and humans.,1179,Python,2024-06-13T06:15:18Z,2016-09-28T11:54:18Z,354,186,25,0
SFDO-Tooling/CumulusCI,MDU6SXNzdWUyMTkzNDU2NDk=,Typo using datetime utcnow,https://github.com/SFDO-Tooling/CumulusCI/issues/293,,5,['bug'],https://github.com/SFDO-Tooling/CumulusCI/pull/295,2,1.3470491979188222,344.0,SFDO-Tooling/CumulusCI,SFDO-Tooling,CumulusCI,https://github.com/SFDO-Tooling/CumulusCI,Python framework for building portable automation for Salesforce projects,352,Python,2024-06-12T09:25:21Z,2014-01-02T20:01:31Z,731,237,49,0
sdispater/pendulum,MDU6SXNzdWUxODg1NzAzOTg=,end_of() method should set microseconds to 999999,https://github.com/sdispater/pendulum/issues/72,,5,['enhancement'],https://github.com/sdispater/pendulum/commit/b467c8dd5bed29a91c4dbbcebfa646f9c7368f4a,2,1.3175838504054265,51.0,sdispater/pendulum,sdispater,pendulum,https://github.com/sdispater/pendulum,Python datetimes made easy,6109,Python,2024-06-12T04:09:49Z,2016-06-27T23:37:53Z,528,373,68,14
python-poetry/tomlkit,I_kwDOCF3PAs5q_Yds,datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12,https://github.com/python-poetry/tomlkit/issues/297,,4,[],https://github.com/python-poetry/tomlkit/commit/3a99b5ba982ae80d7f5ba93805165780c8e326d8,3,1.3126234940215151,1001.0,python-poetry/tomlkit,python-poetry,tomlkit,https://github.com/python-poetry/tomlkit,Style-preserving TOML library for Python,643,Python,2024-06-13T11:05:19Z,2018-07-10T02:21:21Z,190,93,9,0
swimlane/pyattck,MDU6SXNzdWU2MTkyMTAxOTY=,Update pendulum >= 1.2.3,https://github.com/swimlane/pyattck/issues/35,,2,[],https://github.com/swimlane/pyattck/pull/36,2,1.3042433991265037,55.0,swimlane/pyattck,swimlane,pyattck,https://github.com/swimlane/pyattck,A Python package to interact with the Mitre ATT&CK Framework,462,Python,2024-06-01T15:23:27Z,2019-01-07T16:39:29Z,82,86,42,0
antonagestam/phantom-types,I_kwDODj8-6s47ctGV,Make `Interval` parse strings,https://github.com/antonagestam/phantom-types/issues/139,,3,['good first issue'],https://github.com/antonagestam/phantom-types/pull/145,2,1.3035650049116827,31.0,antonagestam/phantom-types,antonagestam,phantom-types,https://github.com/antonagestam/phantom-types,Phantom types for Python.,185,Python,2024-06-07T17:54:12Z,2020-02-07T21:28:59Z,66,9,5,6
ibis-project/ibis,MDU6SXNzdWUyNzk4OTQyNjk=,interval operations in postgres,https://github.com/ibis-project/ibis/issues/1251,,5,"['feature', 'postgres']",https://github.com/ibis-project/ibis/pull/1292,2,1.3035650049116827,33.0,ibis-project/ibis,ibis-project,ibis,https://github.com/ibis-project/ibis,the portable Python dataframe library,4407,Python,2024-06-13T14:31:20Z,2015-04-17T20:43:46Z,2887,543,81,159
hail-is/hail,MDU6SXNzdWU0MTAzNzIxNjk=,Fix BED interval issues,https://github.com/hail-is/hail/issues/5352,,8,['bug'],https://github.com/hail-is/hail/pull/5355,1,1.3035650049116827,25.0,hail-is/hail,hail-is,hail,https://github.com/hail-is/hail,Cloud-native genomic dataframes and batch computing,946,Python,2024-06-07T23:09:54Z,2015-10-27T20:55:42Z,2380,238,55,0
