Owner,Project,Title,Stars,TF-IDFs,Size,Datetime,Arrow,Pendulum,Description,Category 1,Category 2,Affected Computation 1,Affected Computation 2,Affected Computation 3,Obscurity,Impact/Severity,# LOC,Logic Needed,Comments,BPST1,BPST2,BPST3
python,cpython,"Document the ""gotcha"" behaviors in utcnow() and utcfromtimestamp()",60455.0,0.4962715993,3847.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,Timezone Conversions,,2.0,2.0,1.0,2.0,,Outdated/Deprecated APIs,,
ClickHouse,clickhouse-connect,Timezone-aware DateTime64 columns now returned missing the timezone info,272.0,0.4957090367,5069.0,1.0,1.0,0.0,,Timezone,,Datetime Construction,,,1.0,2.0,3.0,3.0,,Dropping Timezones,,
jcrist,msgspec,JSON encoder does not respect ZoneInfo (the IANA time zone database) when encoding datetime objects.,1972.0,0.4942254752,1157.0,1.0,0.0,0.0,,,,,,,,,,,,,,
xcube-dev,xcube,Address `xcube serve`  FutureWarning: timezone-naive DatetimeIndex with a timezone-aware datetime is deprecated,177.0,0.4935990551,1068.0,1.0,0.0,0.0,,,,,,,,,,,,,,
dbt-labs,dbt-core,[CT-3374] [Bug] test_utils.TestCurrentTimestamp.test_current_timestamp_matches_utc is failing for the MacOS runner,9138.0,0.4935733761,2752.0,1.0,0.0,0.0,,Duration,,Delta Comparison,Delta Construction,Datetime Construction,1.0,1.0,1.0,1.0,,Compatibility Issues,,
certtools,intelmq,Harmonization DateTime incorrect handling of naive time strings,944.0,0.4929734988,3073.0,1.0,0.0,1.0,,Timezone,String Representation,Timezone Conversions,String Parsing/Formatting (data),Datetime Construction,1.0,2.0,3.0,2.0,,Dropping Timezones,,
googleapis,python-bigquery,Timestamp loss of precision in insert_rows,717.0,0.4902244991,2030.0,1.0,0.0,0.0,,String Representation,Timestamps,String Parsing/Formatting (data),Timestamp/Hash Construction,,2.0,2.0,1.0,1.0,,Precision of Representation,,
weewx,weewx,Daylight savings changeovers at midnight cause problems with daily summaries,974.0,0.489287511,1927.0,1.0,0.0,0.0,,DST,Timestamps,Datetime Construction,Replacing/Rounding Datetime Components,,2.0,1.0,2.0,2.0,,Crossing DST boundaries,Precision of Representation,Unintuitive Arithmetic
pyopenapi,pyswagger,ISO 8601 timestamps with milliseconds are not parsed properly,381.0,0.4880820245,1868.0,1.0,0.0,0.0,,String Representation,Timezone,Replacing/Rounding Datetime Components,String Parsing/Formatting (data),,1.0,2.0,2.0,1.0,parsing incorrectly so tz's are being dropped,Precision of Representation,Dropping Timezones,
ansible,ansibullbot,TypeError: unsupported operand type(s) for -: 'datetime.datetime' and 'NoneType',203.0,0.4872717973,31974.0,1.0,0.0,0.0,,,,,,,,,,,,,,
googleapis,python-bigquery-pandas,"TST: dtype for BigQuery TIMESTAMP unexpectedly using datetime64[ns, UTC] dtype",425.0,0.4870506346,4424.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,Timestamp/Hash Construction,,1.0,2.0,1.0,1.0,,Compatibility Issues,,
apache,airflow,TimeSensorAsync breaks if target_time is timezone-aware,35031.0,0.4815872142,3303.0,1.0,0.0,1.0,,Timezone,,Timezone Conversions,,,1.0,2.0,1.0,1.0,,Dropping Timezones,Adding Support for New Features,
zulip,zulip,Make all datetimes timezone aware,20271.0,0.4805717847,1595.0,1.0,0.0,0.0,,,,,,,,,,,,,,
psycopg,psycopg,Unable to use ZoneInfo with datetime.time,1541.0,0.4803265007,1696.0,1.0,0.0,0.0,,,,,,,,,,,,,,
richardpenman,whois,"Some registrars have timezones for expiration, some don't",340.0,0.4797678369,2287.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,Datetime Construction,,1.0,2.0,1.0,1.0, '-'ing tz-aware and naive dts,Using Naïve Datetime Incorrectly,,
stac-utils,stac-fastapi,sqlalchemy backend does not support non-interval datetime values,221.0,0.4772528976,3961.0,1.0,0.0,0.0,,,,,,,,,,,,,,
opendatacube,datacube-core,API Query doctest fails due to different timezone representation,492.0,0.4757127454,1398.0,1.0,0.0,0.0,,Timezone,,Datetime Equality,,,1.0,1.0,1.0,1.0,,Compatibility Issues,Comparing Timezones,
dask-contrib,dask-sql,Timestamp improvements,372.0,0.475178856,1256.0,1.0,0.0,0.0,,Timestamps,,Timestamp/Hash Construction,Datetime Construction,,2.0,1.0,2.0,2.0,,Precision of Representation,OOB Timestamps,
kennethreitz,maya,Inconsistent conversion of datetime slang,3407.0,0.4749997788,1396.0,1.0,0.0,1.0,,String Representation,Timezone,String Parsing/Formatting (humanized),Querying Datetime Components,,2.0,2.0,1.0,1.0,Make benchmark for other libs,Using Naïve Datetime Incorrectly,Dropping Timezones,
tobymao,sqlglot,Transforming a presto literal timestamp query to duckdb,5871.0,0.4743360269,1836.0,1.0,0.0,0.0,,Date,Duration,Delta Construction,,,1.0,2.0,2.0,1.0,INTERESTING (quarter=90d?!!),Incorrect Format Assumptions,,
python-social-auth,social-core,UserMixin.expiration_timedelta() returns wrong value because timedelta is calculated using different timezones,832.0,0.4741014125,2224.0,1.0,0.0,0.0,,Duration,,Datetime Arithmetic,Datetime Construction,Delta Construction,1.0,2.0,1.0,1.0,subtracting utc naive and local naive time,Using Naïve Datetime Incorrectly,,
art049,odmantic,pydantic ValidationError for datetime fields if microsecond is 999xyz,1002.0,0.4727722801,2059.0,1.0,0.0,0.0,,String Representation,Date,Datetime Construction,Replacing/Rounding Datetime Components,String Parsing/Formatting (data),2.0,2.0,1.0,1.0,,Precision of Representation,Incorrect Format Assumptions,
python-openapi,openapi-core,Consider moving to isodate.parse_datetime as date time string unmarsaller,282.0,0.4672578992,1248.0,1.0,0.0,0.0,,String Representation,Timezone,String Parsing/Formatting (data),Datetime Construction,,1.0,2.0,2.0,1.0,,Dropping Timezones,,
jschneier,django-storages,modified_time in s3boto3 raises ValueError: astimezone() cannot be applied to a naive datetime,2664.0,0.4669540982,1203.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,,,1.0,3.0,2.0,2.0,make bm if can detect naive dts before localizing,Using Naïve Datetime Incorrectly,,
sdispater,pendulum,pendulum.DateTime using hardcoded pendulum.datetime in methods,6109.0,0.4660724547,1297.0,1.0,0.0,1.0,,,,,,,,,,,,,,
stac-utils,pystac-client,search result depends on datetime format,146.0,0.4648592497,8577.0,1.0,0.0,0.0,,Timezone,String Representation,Timezone Conversions,String Parsing/Formatting (data),,2.0,2.0,1.0,2.0,,Using Naïve Datetime Incorrectly,,
sdispater,pendulum,deepcopy on DateTime produces incorrect offset in copy during dst transition,6109.0,0.4613947502,2697.0,1.0,0.0,1.0,,Fold,DST,Datetime Construction,,,3.0,2.0,2.0,1.0,Issue with __deep_copy method,Creating time in unspecified fold,,
gjcarneiro,yacron,wrong task start time(due to UTC),447.0,0.4594198086,1275.0,1.0,0.0,0.0,,,,,,,,,,,,,,
influxdata,influxdb-client-python,Nanoseconds lost when pd.Timestamp is used as a query parameter,677.0,0.4578990733,1016.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (data),,,1.0,1.0,2.0,1.0,,Precision of Representation,,
dateutil,dateutil,Allow tzinfos to return None,2266.0,0.4577893797,1295.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (data),String Parsing/Formatting (humanized),Querying Datetime Components,2.0,1.0,2.0,2.0,,Incorrect Format Assumptions,Dropping Timezones,
echoboomer,incident-bot,[BUG] Timestamp mismatch,112.0,0.4570247449,2410.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,,,1.0,2.0,2.0,1.0,They are not localizing correctly so not sure about the BPST,Incorrect API usage,,
ccxt,ccxt,Python base cryptopia class do not fill datetime and timestamp correctly at parse_order method,31719.0,0.4550126348,2349.0,1.0,0.0,0.0,,,,,,,,,,,,,,
dora-metrics,pelorus,convert_date_time_to_timestamp incorrectly handles timezones,238.0,0.4546595501,3465.0,1.0,0.0,0.0,,Timezone,Timestamps,Timestamp/Hash Construction,Timezone Conversions,,1.0,2.0,4.0,3.0,,Dropping Timezones,,
sdispater,pendulum,Bad results using .replace() during DST transitioning off,6109.0,0.4538252292,1491.0,1.0,0.0,1.0,,Fold,DST,Replacing/Rounding Datetime Components,,,3.0,2.0,1.0,1.0,,Creating time in unspecified fold,,
aws,aws-sdk-pandas,"read_parquet with Pyarrow backed tries to tz_localize(tz=""UTC"") on already localised UTC timestamps",3834.0,0.4530123304,2018.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,,,1.0,3.0,1.0,2.0,,Using Naïve Datetime Incorrectly,,
heavyai,pymapd,"TypeError: Invalid datetime unit in metadata string ""[ns, UTC]"" while inserting records into Timestamp column",111.0,0.452256298,1372.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (data),,,1.0,2.0,2.0,1.0,,Dropping Timezones,,
dateutil,dateutil,tzlocal uses startup timezone; parse uses runtime timezone,2266.0,0.4518933849,1917.0,1.0,0.0,0.0,,Timezone,DST,Timezone Conversions,Datetime Construction,,2.0,2.0,2.0,2.0,,Unintuitive Arithmetic,,
opendatacube,datacube-core,Issue with time based datacube query using months as a query range,492.0,0.451305101,1159.0,1.0,0.0,0.0,,,,,,,,,,,,,,
brython-dev,brython,datetime.strptime and time.strptime  don't parse dates with month > 9,6292.0,0.4500111221,2048.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (data),,,1.0,3.0,3.0,2.0,I dont mind marking this as a FP since fix is in a different language.,Incorrect Format Assumptions,,
sktime,sktime,[BUG] `day_of_year` is not generated in `DateTimeFeatures` transformation,7514.0,0.4491603577,1687.0,1.0,0.0,0.0,,Date,,Querying Datetime Components,,,1.0,2.0,3.0,2.0,,Incorrect API usage,Incorrect Format Assumptions,
census-instrumentation,opencensus-python,datetime parsing in tracer fails sometimes,663.0,0.4487905736,1604.0,1.0,0.0,0.0,,String Representation,Timestamps,String Parsing/Formatting (data),,,3.0,2.0,2.0,2.0,INTERESTING,Incorrect Format Assumptions,Library Bug,
SEED-platform,seed,Strftime fails for buildings older than 1900,106.0,0.4442925925,1652.0,1.0,0.0,0.0,,String Representation,Date,String Parsing/Formatting (data),Datetime Construction,,2.0,3.0,2.0,1.0,,OOB Datetimes,,
googleapis,python-storage,Accessing blob.custom_time errors on 0 microsecond timestamp,420.0,0.4400521562,3395.0,1.0,0.0,0.0,,String Representation,Timestamps,String Parsing/Formatting (data),,,3.0,2.0,2.0,2.0,,Incorrect Format Assumptions,Library Bug,
Pycord-Development,pycord,Task repeats a Hundred Billion Times when task's timezone is not UTC,2671.0,0.4367994297,4114.0,1.0,0.0,0.0,,,,,,,,,,,,,,
sdispater,pendulum,"Pendulum can not find timezone on Alpine docker, resulting in `.now()` being broken",6109.0,0.4363678703,2805.0,1.0,0.0,1.0,,Timezone,,Datetime Construction,Timezone Conversions,,1.0,3.0,1.0,1.0,INTERESTING (astz() with no local tz),Using Naïve Datetime Incorrectly,,
pydantic,pydantic,Serialization -> de-serialisation fails for small timedelta (< 100 microseconds),19350.0,0.435709689,2181.0,1.0,0.0,0.0,,Duration,,String Parsing/Formatting (data),Delta Construction,,2.0,2.0,1.0,1.0,INTERESTING,Precision of Representation,Incorrect Format Assumptions,
tobymao,sqlglot,`INTERVAL DAY` used as a type is not parsed as a `sqlglot.exp.DataType` for the postgres dialect,5871.0,0.4341066956,1429.0,1.0,0.0,0.0,,,,,,,,,,,,,,
pandas-dev,pandas-stubs,"BUG: Unsupported operand types for DatetimeIndex, Timestamp and datetime",217.0,0.4331407099,1004.0,1.0,0.0,0.0,,Duration,Timestamps,Datetime Comparison,,,1.0,2.0,2.0,2.0,,TODO,,
GoogleCloudPlatform,professional-services-data-validator,validate row: Spanner TIMESTAMP Throws Exception,382.0,0.4323078068,1069.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (data),,,1.0,2.0,4.0,3.0,,Library Bug,,
tobymao,sqlglot,Optimizer Error - CAST(string column) + time interval,5871.0,0.4298240087,1459.0,1.0,0.0,0.0,,Date,Timestamps,Datetime Arithmetic,Datetime Construction,,1.0,3.0,2.0,2.0,,TODO,,
danielgtaylor,python-betterproto,Timestamp bad parsing,1423.0,0.42779501,9372.0,1.0,0.0,0.0,,Timestamps,,Datetime Construction,,,2.0,2.0,2.0,2.0,,OOB Timestamps,Library Bug,
sdispater,pendulum,"Duration methods (total_days(), in_days()) return incorrect values and/or do not match docs",6109.0,0.4277014632,2924.0,1.0,0.0,1.0,,Duration,,Querying Datetime Components,Delta Construction,Delta Arithmetic,1.0,2.0,3.0,3.0,,Unintuitive Arithmetic,,
scrapinghub,dateparser,Timezone confusion (mine),2480.0,0.4273058764,1198.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (humanized),Datetime Construction,,2.0,2.0,3.0,3.0,Time not given in UTC. ,Incorrect Format Assumptions,,
quantopian,trading_calendars,TypeError: data is already tz-aware UTC in get_calendar(),605.0,0.4270354022,1261.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,Datetime Equality,,1.0,2.0,4.0,1.0,,Compatibility Issues,Comparing Timezones,Incorrect Format Assumptions
zulip,zulip,"Replace naive datetimes in the asana, basecamp, and codebase integrations.",20271.0,0.4270049814,2106.0,1.0,0.0,0.0,,,,,,,,,,,,,,
jcrist,msgspec,Retain timezone offset for datetime,1972.0,0.4268266929,3394.0,1.0,0.0,0.0,,,,,,,,,,,,,,
pydantic,pydantic,Date string coerced to datetime infers timezone,19350.0,0.4257122641,2670.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,1.0,2.0,1.0,1.0,,Using Naïve Datetime Incorrectly,,
NatLibFi,Annif,Problem parsing timestamps from Maui Server,186.0,0.4251568676,1144.0,1.0,0.0,0.0,,Timezone,,String Parsing/Formatting (data),Datetime Construction,,1.0,3.0,2.0,2.0,,Incorrect Format Assumptions,Using Naïve Datetime Incorrectly,
nautobot,nautobot,Weekly job executing after 6 days instead of 7,922.0,0.4229286636,1781.0,1.0,0.0,0.0,,String Representation,Date,String Parsing/Formatting (data),Datetime Construction,,1.0,2.0,1.0,1.0,Funny and interesting.,Incorrect Format Assumptions,,
GoogleCloudPlatform,professional-services-data-validator,validate column: error handling a very large timestamp '9999-12-31 23:59:59',382.0,0.422801515,4198.0,1.0,0.0,0.0,,String Representation,Timestamps,String Parsing/Formatting (data),Replacing/Rounding Datetime Components,,2.0,2.0,3.0,2.0,,OOB Datetimes,,
frictionlessdata,frictionless-py,"Pandas warning ""Comparison of Timestamp""",683.0,0.4222483268,2405.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,2.0,1.0,,Outdated/Deprecated APIs,,
apache,airflow,Task and dagrun duration y-axis is incorrect if the last task has a different duration unit,35031.0,0.3990044156,2416.0,1.0,0.0,1.0,,Duration,,Delta Arithmetic,,,2.0,1.0,2.0,2.0,,Precision of Representation,,
dateutil,dateutil,Test failure: test_tzlocal_offset_equal[GMT-tzoff1] (dateutil 2.8.0),2266.0,0.3905171625,11087.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,Querying Datetime Components,,3.0,1.0,1.0,1.0,,Typo,Comparing Timezones,
apache,airflow,schedule_interval can break tree view,35031.0,0.3690640451,1339.0,1.0,0.0,1.0,,Duration,,Datetime Arithmetic,Delta Arithmetic,Replacing/Rounding Datetime Components,2.0,2.0,2.0,2.0,,Subtracting Dates,,
apache,airflow,Recent changes to timezone support broke some operators,35031.0,0.3666677486,13445.0,1.0,0.0,1.0,,Timezone,Timestamps,Querying Datetime Components,Library Conversions,,2.0,2.0,2.0,2.0,,Adding Support for New Features,,
MagicStack,asyncpg,Cannot write sdispater/Pendulum objects as timestamptz,6701.0,0.3122634642,4142.0,1.0,0.0,0.0,,Timestamps,Timezone,Library Conversions,Timezone Conversions,Timestamp/Hash Construction,1.0,2.0,2.0,1.0,,Adding Support for New Libraries,,
