Owner,Project,Title,Stars,TF-IDFs,Size,Datetime,Arrow,Pendulum,Description,Category 1,Category 2,Affected Computation 1,Affected Computation 2,Affected Computation 3,Obscurity,Impact/Severity,# LOC,Logic Needed,Comments,BPST1,BPST2,BPST3
dateutil,dateutil,last day of the month is wrong??,2266.0,0.9356910032,1093.0,1.0,0.0,0.0,they expected apr 30 + 1 month = may 31,Date,,Datetime Arithmetic,,,1.0,1.0,2.0,2.0,INTERESTING,Unintuitive Arithmetic,,
dateutil,dateutil,last day of the month is wrong??,2266.0,0.9356910032,1093.0,1.0,0.0,0.0,,Date,,Datetime Arithmetic,,,1.0,1.0,2.0,2.0,,Unintuitive Arithmetic,,
jupyter-server,jupyter_server,datetime.datetime.utcnow() and datetime.datetime.utcfromtimestamp() are deprecated in Python 3.12,461.0,0.8996655222,3303.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,2.0,1.0,,Outdated/Deprecated APIs,,
vacanza,python-holidays,Mississippi Holiday - Confederate Memorial Day - Calculation incorrect,1375.0,0.8971165925,1326.0,1.0,0.0,0.0,,Date,,Datetime Arithmetic,Datetime Construction,,1.0,2.0,1.0,1.0,,Unintuitive Arithmetic,,
seandstewart,typical,transmute from datetime.datetime -> pendulum.Datetime not handling tzinfo right,183.0,0.8828307451,1005.0,1.0,0.0,1.0,,Timezone,,Library Conversions,,,1.0,2.0,2.0,2.0,,Adding Support for New Libraries,,
mverleg,pyjson_tricks,Ambiguous timezone info in datetime,154.0,0.8708167515,1400.0,1.0,0.0,0.0,,DST,Timezone,Datetime Construction,,,3.0,2.0,2.0,2.0,,Creating time in unspecified fold,,
freach,udatetime,Timestamp conversion does not handle daylight time,241.0,0.8538663708,1669.0,1.0,0.0,0.0,,DST,Timestamps,Datetime Construction,,,2.0,2.0,3.0,3.0,assuming utc when its actually local,Using Naïve Datetime Incorrectly,,
timvink,mkdocs-git-revision-date-localized-plugin,DeprecationWarning: datetime.datetime.utcfromtimestamp() is deprecated and scheduled for removal in a future version,177.0,0.8354575386,1285.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,1.0,1.0,,Outdated/Deprecated APIs,,
stringertheory,traces,[WIP] set_interval problems when dealing with hours,525.0,0.8283535221,1530.0,1.0,0.0,0.0,,Duration,,Datetime Construction,Replacing/Rounding Datetime Components,,1.0,2.0,2.0,2.0,,Precision of Representation,,
pallets,quart,DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).,2715.0,0.8177812689,3499.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,1.0,1.0,,Outdated/Deprecated APIs,,
